"Reference","Qty","Value","Price","Footprint","Price_conect","DNP","Exclude from BOM","Exclude from Board","Datasheet"
"C+1,C+2,C+3,C+4,C+5,C+6,C+8,C+11,C+14,C+15,C+16,C+17,C-1,C-2,C-3,C-4,C-5,C-6,C-7,C-8,C-9,Cfive1,Cfive2,Cfive3,Cout1,Cout2,Cout3,Cslow1,Cslow2,Cslow3,CT1,CT2,CT3,Cten1,Cten2,Cten3","36","100n","0.10140","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","","","","",""
"C+7,C+9,C+10,C+12,C+13,C+18","6","0.1u","0.10140","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","","","","",""
"Cbank1","1","1000u 450V","16.11","Capacitor_THT:CP_Radial_D40.0mm_P10.00mm_SnapIn","","","","",""
"CbankPWM1","1","1.5u 1.3kVDC","19.12","Capacitor_THT:C_Rect_L31.5mm_W13.0mm_P27.50mm_MKS4","","","","",""
"Cbe1,Cbe2,Cbe3,Ccb1,Ccb2,Ccb3","6","0.47u","0.09","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","","","",""
"Cdc1,Cdc2","2","10u","0.08","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","","","",""
"Cdc3,Cdc4,Cdc5,Cdc6","4","1u","0.08","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","","","",""
"Cprot1,Cprot2,Cprot3,Cprot4,Cprot5,Cprot6,Cprot7,Cprot8,Cprot9,Cprot10,Cprot11","11","10n","0.127","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","","","","",""
"CRep1,CRep2,CRep3,CRep4,CRep5,CRep6","6","4.7u","0.08","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","","","",""
"DAISY_CHAIN1,DC_SOURCE1,TRIF_SOURCE1","3","Conn_01x02_Socket","2.3252","Custom:CONN2_2604-3102_WAG","","","","","~"
"Dhcpl1,Dhcpl2,Dhcpl3,Dhcpl4,Dhcpl5,Dhcpl6","6","1.8V","0","LED_THT:LED_D5.0mm","","","","",""
"Dwheel1","1","D","0","Diode_THT:D_DO-27_P15.24mm_Horizontal","","","","","~"
"DZprot1,DZprot2,DZprot3,DZprot4,DZprot5,DZprot6,DZprot7,DZprot8,DZprot9,DZprot10,DZprot11","11","15","0.0424","Diode_THT:D_DO-34_SOD68_P10.16mm_Horizontal","","","","","~"
"FLin1","1","15A 1mH","9.85","Custom:CHOKE_031501_WRE","","","","","https://www.schaffner.com/products/download/product/datasheet/rn-series-common-mode-chokes-new/"
"FLout1","1","18A 1.5mH","10.63","Custom:SCF31B-180-S1R7A013J","","","","","~"
"Fprot1","1","Fuse","2.94","Custom:CONN2_2604-3102_WAG","2.3252","","","","~"
"H2,H3,H4,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20","18","MountingHole_M3","0","MountingHole:MountingHole_3.2mm_M3","","","","",""
"HS1,HS2,HS3,HS4,HS5,HS6,HS7,HS8,HS9,HS10","10","Heatsink","1.639","Custom:Heatsink_Fischer_SK129-STS_42x25mm_2xDrill2.5mm","","","","","~"
"JinAC1,JinDC1,JoutDC1","3","Screw_Terminal_01x02","2.3252","Custom:CONN2_2604-3102_WAG","","","","","~"
"JmonoCtrl1","1","Screw_Terminal_01x07","8.1382","Custom:CONN4_2604-3107_WAG","","","","","~"
